Table:	NopsData										
SkiYear	Event	AgeGroup	SortSeq	Base	Adj	RatingMedian	RatingRec	RatingOpen	OverallBase	OverallExp	EventsReqd
25	Slalom	B1	1	1500	0	23.16	85	0	24	0	2
25	Trick	B1	2	15000	0	335.00	6130	0	0	0	2
25	Jump	B1	3	1500	0	999.00	999	0	0	0	2
25	Slalom	B2	1	1500	0	59.09	91	0	8	0	3
25	Trick	B2	2	15000	0	819.00	8930	0	0	0	3
25	Jump	B2	3	1500	16.8	43.55	112	0	0	0	3
25	Slalom	B3	1	1500	0	65.83	104.5	0	8	0	3
25	Trick	B3	2	15000	0	1170.00	11100	0	0	0	3
25	Jump	B3	3	1500	21.6	66.70	144	0	0	0	3
25	Slalom	B4	1	1500	0	82.67	115	0	8	0	3
25	Trick	B4	2	15000	0	1260.00	11490	0	0	0	3
25	Jump	B4	3	1500	28.65	76.50	191	0	0	0	3
25	Slalom	B5	1	1500	0	81.34	117	0	8	0	3
25	Trick	B5	2	15000	0	1560.00	11970	0	0	0	3
25	Jump	B5	3	1500	28.95	79.70	193	0	0	0	3
25	Slalom	M1	1	1500	0	74.85	122.5	0	8	0	3
25	Trick	M1	2	15000	0	960.00	11620	0	0	0	3
25	Jump	M1	3	1500	32.7	71.30	218	0	0	0	3
25	Slalom	M2	1	1500	0	83.15	122	0	8	0	3
25	Trick	M2	2	15000	0	1224.00	12170	0	0	0	3
25	Jump	M2	3	1500	32.4	94.30	216	0	0	0	3
25	Slalom	M3	1	1500	0	82.95	115.5	0	8	0	3
25	Trick	M3	2	15000	0	938.50	12070	0	0	0	3
25	Jump	M3	3	1500	30.45	81.90	203	0	0	0	3
25	Slalom	M4	1	1500	0	84.55	115.5	0	8	0	3
25	Trick	M4	2	15000	0	1053.50	11470	0	0	0	3
25	Jump	M4	3	1500	28.65	67.00	191	0	0	0	3
25	Slalom	M5	1	1500	0	87.95	111.5	0	8	0	3
25	Trick	M5	2	15000	0	1001.50	6230	0	0	0	3
25	Jump	M5	3	1500	24.3	77.75	162	0	0	0	3
25	Slalom	M6	1	1500	0	85.40	110	0	8	0	3
25	Trick	M6	2	15000	0	1404.00	4830	0	0	0	3
25	Jump	M6	3	1500	23.25	73.90	155	0	0	0	3
25	Slalom	M7	1	1500	0	81.25	104	0	8	0	3
25	Trick	M7	2	15000	0	1080.00	3800	0	0	0	3
25	Jump	M7	3	1500	20.55	52.20	137	0	0	0	3
25	Slalom	M8	1	1500	0	78.33	99	0	8	0	2
25	Trick	M8	2	15000	0	976.00	3400	0	0	0	2
25	Jump	M8	3	1500	18.45	45.60	123	0	0	0	2
25	Slalom	M9	1	1500	0	75.17	92	0	8	0	2
25	Trick	M9	2	15000	0	608.00	2520	0	0	0	2
25	Jump	M9	3	1500	14.7	37.30	98	0	0	0	2
25	Slalom	MA	1	1500	0	60.33	80	0	8	0	2
25	Trick	MA	2	15000	0	800.00	1600	0	0	0	2
25	Jump	MA	3	1500	15	23.40	100	0	0	0	2
25	Slalom	MB	1	1500	0	32.23	64	0	8	0	2
25	Trick	MB	2	15000	0	432.50	1050	0	0	0	2
25	Jump	MB	3	1500	6.15	19.50	41	0	0	0	2
25	Slalom	G1	1	1500	0	22.80	80	0	40	0	2
25	Trick	G1	2	15000	0	361.00	5340	0	0	0	2
25	Jump	G1	3	1500	149.85	999.00	999	0	0	0	2
25	Slalom	G2	1	1500	0	38.08	91	0	8	0	3
25	Trick	G2	2	15000	0	790.00	6260	0	0	0	3
25	Jump	G2	3	1500	11.25	31.70	75	0	0	0	3
25	Slalom	G3	1	1500	0	60.94	84	0	8	0	3
25	Trick	G3	2	15000	0	1131.00	7440	0	0	0	3
25	Jump	G3	3	1500	18	50.40	120	0	0	0	3
25	Slalom	G4	1	1500	0	62.10	105	0	8	0	3
25	Trick	G4	2	15000	0	1358.00	9300	0	0	0	3
25	Jump	G4	3	1500	21.9	58.65	146	0	0	0	3
25	Slalom	G5	1	1500	0	71.00	109	0	8	0	3
25	Trick	G5	2	15000	0	1282.50	10610	0	0	0	3
25	Jump	G5	3	1500	23.1	52.50	154	0	0	0	3
25	Slalom	W1	1	1500	0	63.45	110	0	8	0	3
25	Trick	W1	2	15000	0	850.50	11260	0	0	0	3
25	Jump	W1	3	1500	24.75	44.70	165	0	0	0	3
25	Slalom	W2	1	1500	0	70.68	112.5	0	8	0	3
25	Trick	W2	2	15000	0	1069.50	11360	0	0	0	3
25	Jump	W2	3	1500	23.7	60.50	158	0	0	0	3
25	Slalom	W3	1	1500	0	66.60	113	0	8	0	3
25	Trick	W3	2	15000	0	1210.00	8540	0	0	0	3
25	Jump	W3	3	1500	23.25	59.75	155	0	0	0	3
25	Slalom	W4	1	1500	0	69.17	104.5	0	8	0	3
25	Trick	W4	2	15000	0	1098.00	5600	0	0	0	3
25	Jump	W4	3	1500	20.1	67.65	134	0	0	0	3
25	Slalom	W5	1	1500	0	64.25	98	0	8	0	3
25	Trick	W5	2	15000	0	720.50	5060	0	0	0	3
25	Jump	W5	3	1500	17.4	39.00	116	0	0	0	3
25	Slalom	W6	1	1500	0	68.00	94.5	0	8	0	3
25	Trick	W6	2	15000	0	1497.00	3940	0	0	0	3
25	Jump	W6	3	1500	18.3	35.75	122	0	0	0	3
25	Slalom	W7	1	1500	0	68.38	91	0	8	0	3
25	Trick	W7	2	15000	0	1251.00	3540	0	0	0	3
25	Jump	W7	3	1500	15.45	74.00	103	0	0	0	3
25	Slalom	W8	1	1500	0	62.55	80	0	8	0	2
25	Trick	W8	2	15000	0	1422.00	2700	0	0	0	2
25	Jump	W8	3	1500	8.55	31.50	57	0	0	0	2
25	Slalom	W9	1	1500	0	57.00	71	0	8	0	2
25	Trick	W9	2	15000	0	907.00	1670	0	0	0	2
25	Jump	W9	3	1500	6.75	30.00	45	0	0	0	2
25	Slalom	WA	1	1500	0	23.85	56	0	8	0	2
25	Trick	WA	2	15000	0	190.00	1220	0	0	0	2
25	Jump	WA	3	1500	4.8	29.00	32	0	0	0	2
25	Slalom	WB	1	1500	0	16.00	40	0	8	0	2
25	Trick	WB	2	15000	0	279.00	1120	0	0	0	2
25	Jump	WB	3	1500	3.3	20.00	22	0	0	0	2
25	Slalom	OM	1	1500	0	111.00	122.5	0	8	0	3
25	Trick	OM	2	15000	0	7173.00	12170	0	0	0	3
