Table:	TrickList								
PK	RuleCode	TrickCode	NumSkis	StartPos	NumTurns	RuleNum	TypeCode	Points	Description
0	awsa	FALL	9	0	1	0	0	0	Fall out of course
0	awsa	FALL	0	0	1	0	0	0	Fall out of course
0	awsa	FALL	1	0	1	0	0	0	Fall out of course
0	awsa	FALL	2	0	1	0	0	0	Fall out of course
0	awsa	NSP	9	0	1	0	0	-1	Not skiing position
0	awsa	NSP	0	0	1	0	0	-1	Not skiing position
0	awsa	NSP	1	0	1	0	0	-1	Not skiing position
0	awsa	NSP	2	0	1	0	0	-1	Not skiing position
0	awsa	RS	9	0	0	1	0	10	Reverse Slide (Kneeboard)
0	awsa	S	9	0	0	1	0	10	Side Slide (Kneeboard)
0	awsa	RS	0	0	0	1	0	20	Reverse Slide (Wakeboard)
0	awsa	S	0	0	0	1	0	20	Side Slide (Wakeboard)
0	awsa	RS	1	0	0	1	0	40	Reverse Slide
0	awsa	S	1	0	0	1	0	40	Side Slide
0	awsa	RS	2	0	0	1	0	20	Reverse Slide
0	awsa	S	2	0	0	1	0	20	Side Slide
0	awsa	RTS	1	0	0	2	0	130	Reverse Toe Slide
0	awsa	TS	1	0	0	2	0	130	Toe Side Slide
0	awsa	B	9	0	1	3	0	15	Front to Back (Kneeboard)
0	awsa	RB	9	0	1	3	0	15	Reverse Front to Back (Kneeboard)
0	awsa	B	0	0	1	3	0	30	Front to Back (Wakeboard)
0	awsa	RB	0	0	1	3	0	30	Reverse Front to Back (Wakeboard)
0	awsa	B	1	0	1	3	0	60	Front to Back
0	awsa	RB	1	0	1	3	0	60	Reverse Front to Back
0	awsa	B	2	0	1	3	0	30	Front to Back
0	awsa	RB	2	0	1	3	0	30	Reverse Front to Back
0	awsa	F	9	1	1	4	0	15	Front to Back (Kneeboard)
0	awsa	RF	9	1	1	4	0	15	Reverse Front to Back (Kneeboard)
0	awsa	F	0	1	1	4	0	30	Front to Back (Wakeboard)
0	awsa	RF	0	1	1	4	0	30	Reverse Front to Back (Wakeboard)
0	awsa	F	1	1	1	4	0	60	Front to Back
0	awsa	RF	1	1	1	4	0	60	Reverse Front to Back
0	awsa	F	2	1	1	4	0	30	Front to Back
0	awsa	RF	2	1	1	4	0	30	Reverse Front to Back
0	awsa	5B	9	0	3	72	0	28	540 Front to Back (Kneeboard)
0	awsa	R5B	9	0	3	72	0	28	Reverse 540 Front to Back (Kneeboard)
0	awsa	5F	9	1	3	73	0	28	540 Back to Front (Kneeboard)
0	awsa	R5F	9	1	3	73	0	28	Reverse 540 Back to Front (Kneeboard)
0	awsa	7B	9	1	4	74	0	23	720 Back to Back (Kneeboard)
0	awsa	R7B	9	1	4	74	0	23	Reverse 720 Back to Back (Kneeboard)
0	awsa	7F	9	0	4	75	0	23	720 Front to Front (Kneeboard)
0	awsa	R7F	9	0	4	75	0	23	Reverse 720 Front to Front (Kneeboard)
0	awsa	BB	9	1	2	71	0	23	Back to Back (Kneeboard)
0	awsa	OB	9	1	2	71	0	23	360 Back to Back (Kneeboard)
0	awsa	O	9	0	2	5	0	23	360 Front to Front (Kneeboard)
0	awsa	RBB	9	1	2	71	0	23	Reverse Back to Back (Kneeboard)
0	awsa	ROB	9	1	2	71	0	23	Reverse 360 Back to Back (Kneeboard)
0	awsa	RO	9	0	2	5	0	23	Reverse 360 Front to Front (Kneeboard)
0	awsa	5B	0	0	3	72	0	55	540 Front to Back (Wakeboard)
0	awsa	R5B	0	0	3	72	0	55	Reverse 540 Front to Back (Wakeboard)
0	awsa	5F	0	1	3	73	0	55	540 Back to Front (Wakeboard)
